Time Elapsed (s),X Position (m),Y Position (m),Eccentric Anomaly (rad),Orbital Radius (m),Orbital Velocity (m/s),Gravitational Potential Energy (J),Kinetic Energy (J),Mechanical Energy (J)
14457938.86763635,-147131326290.8447,38223630211.01336,2.883185220359462,152015371205.0571,29551.293903662667,-5.215222017085244e+33,2.607611008542622e+33,-2.607611008542622e+33
14563471.268130047,-147890891856.9901,35225188454.91046,2.9038644522578885,152028055950.01175,29550.06104422984,-5.214786875290164e+33,2.607393437645082e+33,-2.607393437645082e+33
14669003.668623744,-148588232012.14468,32211925571.437897,2.9245420294280473,152039701530.60284,29548.92931941119,-5.21438744527149e+33,2.607193722635745e+33,-2.607193722635745e+33
14774536.06911744,-149223067710.87003,29185112515.738274,2.945218093767742,152050303286.7715,29547.899147166114,-5.21402387043429e+33,2.607011935217145e+33,-2.607011935217145e+33
14880068.469611136,-149795145032.70352,26146025105.456573,2.965892787717656,152059856978.04614,29546.97090763596,-5.213696281185249e+33,2.6068481405926246e+33,-2.6068481405926246e+33
14985600.87010483,-150304235251.70078,23095943558.873535,2.986566254209789,152068358784.7034,29546.144943092397,-5.213404794921396e+33,2.606702397460698e+33,-2.606702397460698e+33
15091133.270598527,-150750134898.9374,20036152032.66194,3.00723863661585,152075805308.81226,29545.421557891244,-5.21314951602009e+33,2.606574758010045e+33,-2.606574758010045e+33
15196665.671092223,-151132665817.99725,16967938159.310186,3.027910078695609,152082193575.16058,29544.80101843177,-5.212930535830239e+33,2.6064652679151196e+33,-2.6064652679151196e+33
15302198.07158592,-151451675213.47113,13892592584.253675,3.0485807245452228,152087521032.06497,29544.28355312132,-5.212747932664728e+33,2.6063739663323634e+33,-2.6063739663323645e+33
15407730.472079616,-151707035692.48743,10811408502.759167,3.069250718545527,152091785552.06454,29543.869352345067,-5.212601771793969e+33,2.6063008858969847e+33,-2.6063008858969847e+33
15513262.872573312,-151898645299.2927,7725681196.599342,3.0899202053103094,152094985432.49817,29543.558568441036,-5.212492105440602e+33,2.606246052720301e+33,-2.606246052720301e+33
15618795.273067007,-152026427542.89786,4636707570.558818,3.1105893296345606,152097119395.96637,29543.35131568013,-5.212418972775266e+33,2.606209486387633e+33,-2.606209486387633e+33
15724327.673560703,-152090331417.80164,1545785688.8153987,3.131258236442672,152098186590.6773,29543.247670251218,-5.212382399913462e+33,2.606191199956731e+33,-2.606191199956731e+33
15829860.0740544,-152090331417.80164,-1545785688.8153615,3.1519270707369142,152098186590.6773,29543.247670251218,-5.212382399913462e+33,2.606191199956731e+33,-2.606191199956731e+33
15935392.474548096,-152026427542.89786,-4636707570.558781,3.1725959775450256,152097119395.96637,29543.35131568013,-5.212418972775266e+33,2.606209486387633e+33,-2.606209486387633e+33
16040924.875041792,-151898645299.2927,-7725681196.599373,3.1932651018692773,152094985432.49817,29543.558568441036,-5.212492105440602e+33,2.606246052720301e+33,-2.606246052720301e+33
16146457.275535489,-151707035692.48743,-10811408502.759197,3.21393458863406,152091785552.06454,29543.869352345067,-5.212601771793969e+33,2.6063008858969847e+33,-2.6063008858969847e+33
16251989.676029183,-151451675213.47113,-13892592584.25364,3.2346045826343635,152087521032.06497,29544.28355312132,-5.212747932664728e+33,2.6063739663323634e+33,-2.6063739663323645e+33
16357522.07652288,-151132665817.99725,-16967938159.31015,3.255275228483977,152082193575.16058,29544.80101843177,-5.212930535830239e+33,2.6064652679151196e+33,-2.6064652679151196e+33
16463054.477016576,-150750134898.9374,-20036152032.661907,3.2759466705637363,152075805308.81226,29545.421557891244,-5.21314951602009e+33,2.606574758010045e+33,-2.606574758010045e+33
16568586.877510272,-150304235251.70078,-23095943558.8735,3.296619052969797,152068358784.7034,29546.144943092397,-5.213404794921396e+33,2.606702397460698e+33,-2.606702397460698e+33
16674119.278003968,-149795145032.70352,-26146025105.456604,3.3172925194619305,152059856978.04614,29546.97090763596,-5.213696281185249e+33,2.6068481405926246e+33,-2.6068481405926246e+33
