Time Elapsed (s),Distance Between Both Masses (m),Distance of Star 1 from Barycenter (m),Distance of Star 2 from Barycenter (m),Scalar Velocity of Star 1 (m/s),Scalar Velocity of Star 2 (m/s),Kinetic Energy of Star 1 (J),Kinetic Energy of Star 2 (J),Total Kinetic Energy (J),Gravitational Potential Energy (J),Total Mechanical Energy (J),Acceleration of Star 1 (m/s^2),Acceleration of Star 2 (m/s^2),Relative Acceleration (m/s^2),Angular Velocity of Star 1 (rad/s),Angular Velocity of Star 2 (rad/s)
369101554.41685903,4294082295090.5854,2865355348798.3184,1428726946292.2676,7283.94298079349,3631.928450438268,5.2764018308039775e+37,2.6309258564725774e+37,7.907327687276554e+37,-1.2332018846225419e+38,-4.424691158948863e+37,1.4438731263620066e-05,7.199457629315696e-06,2.1638188892935763e-05,2.542073179107873e-09,2.542073179107873e-09
378329093.27728045,4323980699989.6655,2885305957219.6016,1438674742770.0645,7244.562515052993,3612.2925150264236,5.219502576132114e+37,2.602554681355421e+37,7.8220572574875355e+37,-1.2246748416436402e+38,-4.424691158948863e+37,1.4239746775138376e-05,7.100239743231443e-06,2.133998651836982e-05,2.5108472454803888e-09,2.510847245480389e-09
387556632.1377019,4354174389211.3765,2905453602971.593,1448720786239.784,7205.128050426669,3592.629654624879,5.162834393681846e+37,2.574298723748606e+37,7.7371331174304515e+37,-1.2161824276379316e+38,-4.424691158948863e+37,1.4042942641432158e-05,7.00210902827991e-06,2.1045051669712067e-05,2.4798634000066373e-09,2.479863400006637e-09
396784170.9981234,4384644837512.9565,2925785924529.807,1458858912983.1501,7165.667268957704,3572.9536720874594,5.106438007866e+37,2.5461782897080663e+37,7.652616297574066e+37,-1.207730745652293e+38,-4.424691158948863e+37,1.3848442070677884e-05,6.905126918670922e-06,2.0753568989348804e-05,2.4491427102990365e-09,2.449142710299037e-09
406011709.8585449,4415374035705.87,2946290904722.435,1469083130983.4353,7126.206274588135,3553.2775833932815,5.050351038070541e+37,2.518212137057485e+37,7.568563175128027e+37,-1.199325433407689e+38,-4.424691158948863e+37,1.3656353841994451e-05,6.809347653980186e-06,2.046570149597464e-05,2.4187042301783442e-09,2.4187042301783442e-09
415239248.71896636,4446344491965.556,2966956871604.3164,1479387620361.2397,7086.76963899588,3533.613640502082,4.994608124465473e+37,2.490417538120287e+37,7.48502566258576e+37,-1.1909716821534624e+38,-4.424691158948863e+37,1.3466773151590106e-05,6.714818701056084e-06,2.018159185264619e-05,2.388565100767328e-09,2.3885651007673277e-09
424466787.57938784,4477539231295.255,2987772498099.159,1489766733196.0962,7047.3804502772555,3513.973355628343,4.939241056928983e+37,2.4628103440039473e+37,7.40205140093293e+37,-1.1826742559881793e+38,-4.424691158948863e+37,1.3279782450995735e-05,6.621581171980576e-06,1.990136362297631e-05,2.358740652027839e-09,2.3587406520278385e-09
433694326.4398093,4508941793330.1875,3008726800534.3125,1500214992795.8755,7008.0603638256125,3494.3675266104647,4.884278905767694e+37,2.4354050497798807e+37,7.319683955547575e+37,-1.1744375114496438e+38,-4.424691158948863e+37,1.3095452271327727e-05,6.529670235064138e-06,1.9625122506391864e-05,2.3292445038815317e-09,2.3292445038815317e-09
442921865.3002308,4540536228658.727,3029809136185.959,1510727092472.768,6968.8296548205635,3474.8062630830036,4.829748153073801e+37,2.408214859980895e+37,7.237963013054695e+37,-1.1662654172003558e+38,-4.424691158948863e+37,1.2913842028530236e-05,6.4391155163566405e-06,1.9352957544886878e-05,2.300088666176905e-09,2.3000886661769054e-09
452149404.1606523,4572307093827.223,3051009199945.934,1521297893881.2893,6929.707271803627,3455.2990131906276,4.775672823708718e+37,2.3812517539124193e+37,7.156924577621138e+37,-1.1581615736569999e+38,-4.424691158948863e+37,1.273500080546543e-05,6.3499414896141235e-06,1.9084942295079552e-05,2.2712836368787172e-09,2.2712836368787172e-09
